6984,en,Colin Powell
6984,de,Colin Powell
6991,en,Cimabue
6991,de,Cimabue
7015,en,Christiaan Barnard
7015,de,Christiaan Barnard
7018,de,Michelangelo Merisi da Caravaggio
7018,en,Caravaggio
7019,en,Jean-Baptiste-SimÃ©on Chardin
7019,de,Jean SimÃ©on Chardin
7080,en,Christian Doppler
7080,de,Christian Doppler
7119,en,William Kidd
7119,de,William Kidd
7234,en,Constantine II (emperor)
7234,de,Konstantin II. (Rom)
7236,de,Konstantin der GroÃŸe
7236,en,Constantine the Great
7246,en,Charles Messier
7246,de,Charles Messier
7342,en,Clement of Alexandria
7342,de,Clemens von Alexandria
7345,en,Carl Barks
7345,de,Carl Barks
7362,en,Casimir III the Great
7362,de,Kasimir III. (Polen)
7383,en,Cyril of Alexandria
7383,de,Kyrill von Alexandria
7387,en,Cyril of Jerusalem
7387,de,Kyrill von Jerusalem
7426,en,Charles I of England
7426,de,Karl I. (England)
7434,en,Camille Pissarro
7434,de,Camille Pissarro
7437,en,Carlo Collodi
7437,de,Carlo Collodi
7471,en,Catherine of Siena
7471,de,Katharina von Siena
7472,en,Charles Lyell
7472,de,Charles Lyell
7478,en,CuauhtÃ©moc
7478,de,CuauhtÃ©moc
7504,en,Cesare Borgia
7504,de,Cesare Borgia
7517,en,Calista Flockhart
7517,de,Calista Flockhart
7550,en,Craig Venter
7550,de,Craig Venter
7554,en,Carl Rogers
7554,de,Carl Rogers
7573,en,Clive Barker
7573,de,Clive Barker
7628,en,Christine de Pizan
7628,de,Christine de Pizan
7668,en,Charles Mingus
7668,de,Charles Mingus
7756,en,Chet Atkins
7756,de,Chet Atkins
7824,en,Colin Maclaurin
7824,de,Colin Maclaurin
7886,en,Drew Barrymore
7886,de,Drew Barrymore
7888,en,D. W. Griffith
7888,de,David Wark Griffith
7891,en,David Lynch
7891,de,David Lynch
7892,en,David Cronenberg
7892,de,David Cronenberg
7925,de,David Hume
7925,en,David Hume
8079,en,David Fincher
8079,de,David Fincher
8081,en,Douglas Engelbart
8081,de,Douglas C. Engelbart
8083,en,Dr. Dre
8083,de,Dr. Dre
8091,en,Douglas Adams
8091,de,Douglas Adams
8095,en,Donald Knuth
8095,de,Donald Ervin Knuth
8099,en,Dave Grohl
8099,de,Dave Grohl
8138,en,Dino Zoff
8138,de,Dino Zoff
8169,de,Dante Alighieri
8169,en,Dante Alighieri
8176,en,Dave Brubeck
8176,de,Dave Brubeck
8182,de,Dwight D. Eisenhower
8182,en,Dwight D. Eisenhower
8193,en,Daniel Defoe
8193,de,Daniel Defoe
8199,en,Denis Diderot
8199,de,Denis Diderot
8205,de,Deng Xiaoping
8205,en,Deng Xiaoping
8211,de,Demokrit
8211,en,Democritus
8218,en,Dennis Ritchie
8218,de,Dennis Ritchie
8300,en,Doris Day
8300,de,Doris Day
8302,de,David Hilbert
8302,en,David Hilbert
8340,en,David Letterman
8340,de,David Letterman
8362,en,Diego de Almagro
8362,de,Diego de Almagro el Viejo
8397,en,Danny Elfman
8397,de,Danny Elfman
8467,en,Draco (lawgiver)
8467,de,Drakon
8470,en,David Ricardo
8470,de,David Ricardo
8474,en,"Arthur Wellesley, 1st Duke of Wellington"
8474,de,"Arthur Wellesley, 1. Duke of Wellington"
8485,de,Diego Maradona
8485,en,Diego Maradona
8487,en,David Brewster
8487,de,David Brewster
8520,en,Dmitri Shostakovich
8520,de,Dmitri Dmitrijewitsch Schostakowitsch
8551,de,David (Israel)
8551,en,David
8580,de,Diokletian
8580,en,Diocletian
8592,de,Domitian
8592,en,Domitian
8618,de,David Beckham
8618,en,David Beckham
8629,en,Donald Rumsfeld
8629,de,Donald Rumsfeld
8663,en,Daniel Gabriel Fahrenheit
8663,de,Daniel Gabriel Fahrenheit
8716,en,Dolly Parton
8716,de,Dolly Parton
8756,en,Daniel Dennett
8756,de,Daniel Dennett
8778,en,Daniel Ortega
8778,de,Daniel Ortega
8783,en,Dylan Thomas
8783,de,Dylan Thomas
8786,en,David Bowie
8786,de,David Bowie
8791,en,Dennis Hopper
8791,de,Dennis Hopper
8799,en,D. B. Cooper
8799,de,D. B. Cooper
8855,en,Dr. Seuss
8855,de,Theodor Seuss Geisel
8875,en,Dan Simmons
8875,de,Dan Simmons
8910,en,Dean Koontz
8910,de,Dean Koontz
8927,en,Don Rosa
8927,de,Don Rosa
8930,en,Dziga Vertov
8930,de,Dsiga Wertow
8945,en,Derek Walcott
8945,de,Derek Walcott
8987,en,Don McLean
8987,de,Don McLean
9002,en,Danny Kaye
9002,de,Danny Kaye
9039,en,Django Reinhardt
9039,de,Django Reinhardt
9072,en,Jacques-Louis David
9072,de,Jacques-Louis David
9110,en,Diophantus
9110,de,Diophant von Alexandrien
9238,en,Ernst Mayr
9238,de,Ernst Mayr
9288,de,Elvis Presley
9288,en,Elvis Presley
9299,en,Erasmus Darwin
9299,de,Erasmus Darwin
9321,en,Edward Sapir
9321,de,Edward Sapir
9331,de,Euklid
9331,en,Euclid
9428,de,Ernest Hemingway
9428,en,Ernest Hemingway
9469,en,Eric S. Raymond
9469,de,Eric S. Raymond
9480,en,Edmund Stoiber
9480,de,Edmund Stoiber
9482,en,Enya
9482,de,Enya
9505,en,Elias Canetti
9505,de,Elias Canetti
9506,en,Edward Jenner
9506,de,Edward Jenner
9514,en,Edvard Grieg
9514,de,Edvard Grieg
9516,en,Erwin Rommel
9516,de,Erwin Rommel
9518,en,Edmund Husserl
9518,de,Edmund Husserl
9536,en,Edmund Spenser
9536,de,Edmund Spenser
9549,de,Edgar Allan Poe
9549,en,Edgar Allan Poe
9553,en,Empedocles
9553,de,Empedokles
9591,en,E. E. Cummings
9591,de,E. E. Cummings
9603,de,Ernest Rutherford
9603,en,Ernest Rutherford
9615,de,Ã‰douard Manet
9615,en,Ã‰douard Manet
9627,en,Elizabeth Barrett Browning
9627,de,Elizabeth Barrett Browning
9657,en,Edgar Rice Burroughs
9657,de,Edgar Rice Burroughs
9658,en,EugÃ¨ne Viollet-le-Duc
9658,de,EugÃ¨ne Viollet-le-Duc
9668,de,Ernst Haeckel
9668,en,Ernst Haeckel
9674,en,Einhard
9674,de,Einhard
9679,en,Prince Eugene of Savoy
9679,de,Eugen von Savoyen
9764,de,Emma Goldman
9764,en,Emma Goldman
9779,de,Edvard Munch
9779,en,Edvard Munch
9808,de,Euripides
9808,en,Euripides
9810,en,Emily BrontÃ«
9810,de,Emily BrontÃ«
9815,en,Ã‰variste Galois
9815,de,Ã‰variste Galois
9820,en,Ennius
9820,de,Quintus Ennius
9839,en,Ezra
9839,de,Esra (Person)
9840,en,Elijah
9840,de,Elija
9902,en,Esther
9902,de,KÃ¶nigin Ester
9911,en,Ezekiel
9911,de,Ezechiel (Prophet)
9942,de,Erwin SchrÃ¶dinger
9942,en,Erwin SchrÃ¶dinger
9948,en,Louise Ã‰lisabeth VigÃ©e Le Brun
9948,de,Ã‰lisabeth VigÃ©e-Lebrun
9956,en,Erik Satie
9956,de,Erik Satie
9962,en,Eleanor of Aquitaine
9962,de,Eleonore von Aquitanien
10002,en,Emil Kraepelin
10002,de,Emil Kraepelin
10018,en,Edsger W. Dijkstra
10018,de,Edsger Wybe Dijkstra
10030,en,Edmund Burke
10030,de,Edmund Burke
10049,en,Eric Clapton
10049,de,Eric Clapton
10073,en,Epicurus
10073,de,Epikur
10076,en,El Cid
10076,de,El Cid
10083,en,Ã†thelred the Unready
10083,de,Ã†thelred (England)
10085,en,Edward Elgar
10085,de,Edward Elgar
10101,en,Eugene Wigner
10101,de,Eugene Paul Wigner
10128,de,Elisabeth I.
10128,en,Elizabeth I of England
10130,en,Emperor Jimmu
10130,de,Jimmu
10148,en,Ernst Kaltenbrunner
10148,de,Ernst Kaltenbrunner
10150,en,Engelbert Dollfuss
10150,de,Engelbert DollfuÃŸ
10151,en,E. T. A. Hoffmann
10151,de,E. T. A. Hoffmann
10152,de,Erasmus von Rotterdam
10152,en,Desiderius Erasmus
10172,en,Eusebius
10172,de,Eusebius von Caesarea
10245,en,Edward VI of England
10245,de,Eduard VI.
10258,en,Enid Blyton
10258,de,Enid Blyton
10264,de,Enrico Fermi
10264,en,Enrico Fermi
10277,en,Ennio Morricone
10277,de,Ennio Morricone
10286,en,Enver Hoxha
10286,de,Enver Hoxha
10287,de,Hirohito
10287,en,Hirohito
10292,en,"Louis Mountbatten, 1st Earl Mountbatten of Burma"
10292,de,"Louis Mountbatten, 1. Earl Mountbatten of Burma"
10293,en,Elbridge Gerry
10293,de,Elbridge Gerry
10310,en,Edward Gibbon
10310,de,Edward Gibbon
10313,en,E. O. Wilson
10313,de,Edward O. Wilson
10328,en,Evliya Ã‡elebi
10328,de,Evliya Ã‡elebi
10354,en,Edmund I
10354,de,Edmund I. (England)
10358,en,Ephrem the Syrian
10358,de,EphrÃ¤m der Syrer
10407,en,Epictetus
10407,de,Epiktet
10408,en,Edward Lear
10408,de,Edward Lear
10442,en,Emperor Suizei
10442,de,Suizei
10443,en,Emperor Annei
10443,de,Annei
10473,en,Emil Theodor Kocher
10473,de,Theodor Kocher
10482,en,Eli Wallach
10482,de,Eli Wallach
10489,en,Edwin Hubble
10489,de,Edwin Hubble
10510,en,Elvis Costello
10510,de,Elvis Costello
10518,en,Elie Wiesel
10518,de,Elie Wiesel
10520,en,Ed Wood
10520,de,Ed Wood
10576,en,Francis Ford Coppola
10576,de,Francis Ford Coppola
10671,de,Friedrich Nietzsche
10671,en,Friedrich Nietzsche
10672,en,Frank Zappa
10672,de,Frank Zappa
10683,de,Frank Lloyd Wright
10683,en,Frank Lloyd Wright
10777,en,Friedrich WÃ¶hler
10777,de,Friedrich WÃ¶hler
10823,de,FrÃ©dÃ©ric Chopin
10823,en,FrÃ©dÃ©ric Chopin
10852,en,Frank Herbert
10852,de,Frank Herbert
10855,en,Franco Baresi
10855,de,Franco Baresi
10858,de,Franz Kafka
10858,en,Franz Kafka
10868,de,Francisco de Goya
10868,en,Francisco Goya
10896,en,Felix Bloch
10896,de,Felix Bloch (Physiker)
10957,en,Francis Xavier
10957,de,Franz Xaver
10979,de,Franklin D. Roosevelt
10979,en,Franklin D. Roosevelt
10989,en,Felix Hausdorff
10989,de,Felix Hausdorff
11001,en,Fred Hoyle
11001,de,Fred Hoyle
11023,en,Honorius (emperor)
11023,de,Flavius Honorius
11033,en,Frederick Douglass
11033,de,Frederick Douglass
11041,de,Ferdinand de Saussure
11041,en,Ferdinand de Saussure
11125,en,Francesco Borromini
11125,de,Francesco Borromini
11181,en,Frank Sinatra
11181,de,Frank Sinatra
11194,en,Francis Fukuyama
11194,de,Francis Fukuyama
11282,en,FrÃ©dÃ©ric Bastiat
11282,de,FrÃ©dÃ©ric Bastiat
11285,en,Francisco I. Madero
11285,de,Francisco Madero
11307,en,Frans Eemil SillanpÃ¤Ã¤
11307,de,Frans Eemil SillanpÃ¤Ã¤
11319,en,Francis Bacon
11319,de,Francis Bacon
11358,en,Felix Wankel
11358,de,Felix Wankel
11369,en,Frank Capra
11369,de,Frank Capra
11371,en,Fabius Maximus
11371,de,Quintus Fabius Maximus Verrucosus
11397,en,Freeman Dyson
11397,de,Freeman Dyson
11431,en,Fernando Pessoa
11431,de,Fernando Pessoa
11449,en,"Frederick William, Elector of Brandenburg"
11449,de,Friedrich Wilhelm (Brandenburg)
11457,en,Fra Angelico
11457,de,Fra Angelico
11458,en,Fra Bartolomeo
11458,de,Fra Bartolommeo
11461,en,Francis Crick
11461,de,Francis Crick
11466,de,Francisco Franco
11466,en,Francisco Franco
11469,en,Friedrich August KekulÃ© von Stradonitz
11469,de,Friedrich August KekulÃ©
